Exercise Name,Image URL,Muscle Group,Exercise Type
Squat,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50b-barbell-back-squat-m1-square-600x600.jpg,Legs,Strength
Bench Press,,Chest,Strength
Deadlift,,Back,Strength
Treadmill,,Cardio,Cardio
Rowing Machine,,Cardio,Cardio
Cycling,,Cardio,Cardio
Pull-up,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-92c-pull-up-m1-square-600x600.jpg,Back,Strength
Push-up,,Chest,Strength
Leg Press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-44m-leg-press-m1-square-600x600.jpg,Legs,Strength
Shoulder Press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48e-seated-barbell-shoulder-press-m1-square-600x600.jpg,Shoulders,Strength
Bicep Curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-7d-hammer-curl-m1-square-600x600.jpg,Biceps,Strength
Tricep Extension,,Triceps,Strength
Plank,,Core,Strength
Lunge,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-43b-barbell-forward-lunge-m1-square-600x600.jpg,Legs,Strength
Crunches,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50d-dumbbell-suitcase-crunch-m1-square-600x600.jpg,Core,Strength
Lat Pull-down,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-72c-lat-pull-down-m1-square-600x600.jpg,Back,Strength
Dumbbell Row,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-13e-single-arm-bench-dumbbell-row-m1-square-600x600.jpg,Back,Strength
Leg Curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-20m-lying-leg-curl-m1-square-600x600.jpg,Legs,Strength
Leg Extension,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18m-leg-extension-m1-square-600x600.jpg,Legs,Strength
Dips,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-1m-triceps-dip-m1-square-600x600.jpg,Triceps,Strength
Face Pull,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-40c-standing-face-pull-m1-square-600x600.jpg,Shoulders,Strength
Romanian Deadlift,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-9d-dumbbell-stiff-legged-deadlift-m1-square-600x600.jpg,Legs,Strength
Calf Raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-117s-standing-calf-raise-m1-square-600x600.jpg,Legs,Strength
Hammer Curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-7d-hammer-curl-m1-square-600x600.jpg,Biceps,Strength
Chest Fly,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-31e-dumbbell-chest-fly-m1-square-600x600.jpg,Chest,Strength
Lateral Raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-77d-dumbbell-lateral-raise-m1-square-600x600.jpg,Shoulders,Strength
Front Raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-13d-dumbbell-front-raise-m2-square-600x600.jpg,Shoulders,Strength
Shrugs,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-04b-barbell-shrug-m1-square-600x600.jpg,Shoulders,Strength
Incline Bench Press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-3n-incline-dumbbell-bench-press-m1-square-600x600.jpg,Chest,Strength
Tricep Pushdown,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-17c-cable-v-bar-push-down-m1-square-600x600.jpg,Triceps,Strength
Barbell Row,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-02b-reverse-grip-bent-over-row-m1-square-600x600.jpg,Back,Strength
Overhead Press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-104d-standing-dumbbell-shoulder-press-m1-square-600x600.jpg,Shoulders,Strength
Hip Thrust,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-114s-barbell-glute-bridge-m1-square-600x600.jpg,Legs,Strength
Leg Raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-63a-lying-leg-lift-m2-square-600x600.jpg,Core,Strength
Russian Twist,,Core,Strength
Seated Row,,Back,Strength
Elliptical,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-22m-elliptical-trainer-m1-square-600x600.jpg,Cardio,Cardio
Jump Rope,,Cardio,Cardio
Stair Climber,,Cardio,Cardio
